id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
599,"Wise Blood","Flannery O'Connor","Southern Gothic","English",1952,"Harcourt","A returning WWII veteran tries to start an anti-religious church.",236,"religion,satire,south",4.03,"USA",TRUE,"None","Adult",TRUE,1979,"978-0374505844"
600,"Trigger Warning","Neil Gaiman","Short Stories","English",2015,"William Morrow","A collection of short fiction and poetry exploring the masks we wear.",310,"horror,fantasy,anthology",3.96,"UK",TRUE,"Locus Award","Adult",FALSE,,"978-0062330260"
601,"Harry Potter and the Goblet of Fire","J.K. Rowling","Fantasy","English",2000,"Bloomsbury","Harry is entered into the Triwizard Tournament and faces Voldemort's return.",636,"magic,school,tournament",4.56,"UK",TRUE,"Hugo Award","Children",TRUE,2005,"978-0439139595"
602,"Harry Potter and the Order of the Phoenix","J.K. Rowling","Fantasy","English",2003,"Bloomsbury","Harry faces a smear campaign by the Ministry of Magic and forms a secret defense group.",766,"magic,rebellion,politics",4.50,"UK",TRUE,"None","Children",TRUE,2007,"978-0439358064"
603,"Harry Potter and the Half-Blood Prince","J.K. Rowling","Fantasy","English",2005,"Bloomsbury","Harry learns about Voldemort's past and the Horcruxes.",607,"magic,history,romance",4.57,"UK",TRUE,"British Book Award","Children",TRUE,2009,"978-0439784542"
604,"Harry Potter and the Deathly Hallows","J.K. Rowling","Fantasy","English",2007,"Bloomsbury","The final battle between Harry Potter and Lord Voldemort.",607,"magic,war,finale",4.62,"UK",TRUE,"None","Children",TRUE,2010,"978-0545010221"
605,"A Clash of Kings","George R.R. Martin","Fantasy","English",1998,"Bantam Spectra","Five kings compete for the Iron Throne in the second book of A Song of Ice and Fire.",768,"epic,war,politics",4.41,"USA",TRUE,"Locus Award","Adult",TRUE,2012,"978-0553381696"
606,"A Storm of Swords","George R.R. Martin","Fantasy","English",2000,"Bantam Spectra","The War of the Five Kings continues with betrayals and weddings.",973,"epic,war,tragedy",4.54,"USA",TRUE,"Locus Award","Adult",TRUE,2013,"978-0553381702"
607,"A Feast for Crows","George R.R. Martin","Fantasy","English",2005,"Bantam Spectra","The aftermath of the war sees new alliances and threats in Westeros.",753,"epic,politics,dark",4.14,"USA",TRUE,"None","Adult",TRUE,2015,"978-0553582024"
608,"A Dance with Dragons","George R.R. Martin","Fantasy","English",2011,"Bantam Spectra","Daenerys rules in Meereen while Jon Snow faces threats at the Wall.",1016,"epic,dragons,winter",4.32,"USA",TRUE,"Locus Award","Adult",TRUE,2015,"978-0553801477"
609,"The Eye of the World","Robert Jordan","Fantasy","English",1990,"Tor Books","Three young men from a small village are hunted by the Dark One's servants.",814,"epic,magic,journey",4.18,"USA",TRUE,"None","Adult",TRUE,2021,"978-0812511819"
610,"The Great Hunt","Robert Jordan","Fantasy","English",1990,"Tor Books","Rand al'Thor searches for the Horn of Valere to lead the heroes of legend.",705,"epic,adventure,magic",4.22,"USA",TRUE,"None","Adult",TRUE,2021,"978-0812517729"
611,"The Dragon Reborn","Robert Jordan","Fantasy","English",1991,"Tor Books","Rand al'Thor proclaims himself the Dragon Reborn and seizes the Stone of Tear.",624,"epic,destiny,magic",4.25,"USA",TRUE,"None","Adult",TRUE,2021,"978-0812513714"
612,"Casino Royale","Ian Fleming","Spy Fiction","English",1953,"Jonathan Cape","James Bond tries to bankrupt a Soviet agent at a baccarat table in France.",213,"spy,bond,gambling",3.76,"UK",TRUE,"None","Adult",TRUE,2006,"978-1612185439"
613,"Live and Let Die","Ian Fleming","Spy Fiction","English",1954,"Jonathan Cape","Bond tracks a criminal genius named Mr. Big from Harlem to Jamaica.",221,"spy,crime,vodou",3.67,"UK",TRUE,"None","Adult",TRUE,1973,"978-1612185446"
614,"Moonraker","Ian Fleming","Spy Fiction","English",1955,"Jonathan Cape","Bond investigates a millionaire industrialist building a nuclear missile.",247,"spy,rocket,london",3.74,"UK",TRUE,"None","Adult",TRUE,1979,"978-1612185453"
615,"Goldfinger","Ian Fleming","Spy Fiction","English",1959,"Jonathan Cape","Bond investigates a gold smuggler who plans to rob Fort Knox.",318,"spy,gold,villain",3.83,"UK",TRUE,"None","Adult",TRUE,1964,"978-1612185507"
616,"Tinker Tailor Soldier Spy","John le Carré","Spy Fiction","English",1974,"Hodder & Stoughton","George Smiley is brought out of retirement to find a Soviet mole in British Intelligence.",381,"spy,cold war,mystery",4.06,"UK",TRUE,"None","Adult",TRUE,2011,"978-0143120933"
617,"The Spy Who Came in from the Cold","John le Carré","Spy Fiction","English",1963,"Victor Gollancz","A British agent poses as a defector to frame an East German intelligence officer.",224,"spy,cold war,tragedy",4.08,"UK",TRUE,"Edgar Award","Adult",TRUE,1965,"978-0143124757"
618,"Smiley's People","John le Carré","Spy Fiction","English",1979,"Hodder & Stoughton","George Smiley faces his nemesis, Karla, in a final Cold War chess match.",395,"spy,cold war,finale",4.06,"UK",TRUE,"None","Adult",TRUE,1982,"978-0143119661"
619,"The Day of the Jackal","Frederick Forsyth","Thriller","English",1971,"Hutchinson","A professional assassin is hired to kill Charles de Gaulle.",358,"assassin,suspense,history",4.24,"UK",TRUE,"Edgar Award","Adult",TRUE,1973,"978-0451239372"
620,"The Bourne Identity","Robert Ludlum","Thriller","English",1980,"Richard Marek","A man with amnesia finds he has advanced combat skills and is being hunted.",566,"spy,action,amnesia",4.03,"USA",TRUE,"None","Adult",TRUE,2002,"978-0553260113"
621,"The Bourne Supremacy","Robert Ludlum","Thriller","English",1986,"Random House","Jason Bourne is forced out of retirement to find an impostor using his name.",646,"spy,action,asia",3.95,"USA",TRUE,"None","Adult",TRUE,2004,"978-0553263220"
622,"The Hunt for Red October","Tom Clancy","Techno-thriller","English",1984,"Naval Institute Press","A Soviet submarine captain attempts to defect to the United States with a cutting-edge sub.",387,"military,submarine,cold war",4.09,"USA",TRUE,"None","Adult",TRUE,1990,"978-0425240335"
623,"Patriot Games","Tom Clancy","Techno-thriller","English",1987,"Putnam","Jack Ryan saves the Prince of Wales from a terrorist attack and becomes a target.",503,"terrorism,spy,action",4.05,"USA",TRUE,"None","Adult",TRUE,1992,"978-0425240359"
624,"Shōgun","James Clavell","Historical Fiction","English",1975,"Hodder & Stoughton","An English pilot is shipwrecked in feudal Japan and rises to become a samurai.",1152,"japan,history,epic",4.39,"UK",TRUE,"None","Adult",TRUE,1980,"978-0440178002"
625,"Tai-Pan","James Clavell","Historical Fiction","English",1966,"Atheneum","The struggle for power among traders in Hong Kong after the First Opium War.",734,"history,hong kong,business",4.23,"UK",TRUE,"None","Adult",TRUE,1986,"978-0440184621"
626,"King Rat","James Clavell","Historical Fiction","English",1962,"Little, Brown","Survival in a Japanese prisoner-of-war camp during World War II.",352,"war,survival,prison",4.07,"UK",TRUE,"None","Adult",TRUE,1965,"978-0440145462"
627,"Sphere","Michael Crichton","Sci-Fi","English",1987,"Knopf","Scientists discover a giant spacecraft on the ocean floor containing a mysterious sphere.",371,"ocean,aliens,psychology",3.80,"USA",TRUE,"None","Adult",TRUE,1998,"978-0345353146"
628,"The Andromeda Strain","Michael Crichton","Sci-Fi","English",1969,"Knopf","A team of scientists battles a deadly extraterrestrial microorganism.",327,"science,virus,thriller",3.89,"USA",TRUE,"None","Adult",TRUE,1971,"978-0060541811"
629,"Congo","Michael Crichton","Adventure","English",1980,"Knopf","An expedition to the African rainforest searches for diamonds and encounters killer apes.",480,"jungle,technology,apes",3.61,"USA",TRUE,"None","Adult",TRUE,1995,"978-0345378491"
630,"Timeline","Michael Crichton","Sci-Fi","English",1999,"Knopf","Historians travel back to 14th-century France to rescue their professor.",496,"time travel,history,knights",3.85,"USA",TRUE,"None","Adult",TRUE,2003,"978-0345417626"
631,"The Martian Chronicles","Ray Bradbury","Sci-Fi","English",1950,"Doubleday","A collection of stories about the colonization of Mars by humans.",222,"mars,space,short stories",4.13,"USA",TRUE,"None","Adult",TRUE,1980,"978-1451678192"
632,"The Illustrated Man","Ray Bradbury","Sci-Fi","English",1951,"Doubleday","Eighteen science fiction stories framed by a tattooed vagrant.",275,"scifi,tattoos,short stories",4.12,"USA",TRUE,"None","Adult",TRUE,1969,"978-1451678185"
633,"Something Wicked This Way Comes","Ray Bradbury","Fantasy","English",1962,"Simon & Schuster","Two boys encounter a sinister traveling carnival that grants wishes for a price.",293,"horror,carnival,classic",3.94,"USA",TRUE,"None","Young Adult",TRUE,1983,"978-0380729401"
634,"I Am Legend","Richard Matheson","Horror","English",1954,"Gold Medal Books","The last man on Earth hunts vampires while trying to stay sane.",160,"vampires,isolation,scifi",4.00,"USA",TRUE,"None","Adult",TRUE,2007,"978-0765357151"
635,"What Dreams May Come","Richard Matheson","Fantasy","English",1978,"Putnam","A man dies and travels through the afterlife to rescue his wife from hell.",288,"afterlife,love,fantasy",4.11,"USA",TRUE,"None","Adult",TRUE,1998,"978-0765308702"
636,"Contact","Carl Sagan","Sci-Fi","English",1985,"Simon & Schuster","A radio astronomer discovers a signal from extraterrestrial intelligence.",432,"aliens,science,religion",4.13,"USA",TRUE,"Locus Award","Adult",TRUE,1997,"978-0671004101"
637,"World Without End","Ken Follett","Historical Fiction","English",2007,"Dutton","The sequel to The Pillars of the Earth, set 150 years later in Kingsbridge.",1014,"history,architecture,plague",4.26,"UK",TRUE,"None","Adult",TRUE,2012,"978-0451224996"
638,"The Bad Beginning","Lemony Snicket","Children's Fiction","English",1999,"HarperCollins","Three orphans are sent to live with their distant cousin, Count Olaf, who wants their fortune.",162,"humor,gothic,kids",3.94,"USA",TRUE,"None","Children",TRUE,2004,"978-0061148518"
639,"The Reptile Room","Lemony Snicket","Children's Fiction","English",1999,"HarperCollins","The Baudelaire orphans go to live with their uncle who studies snakes.",190,"humor,gothic,kids",3.98,"USA",TRUE,"None","Children",TRUE,2004,"978-0061148532"
640,"Sideways Stories from Wayside School","Louis Sachar","Children's Fiction","English",1978,"Follett","Humorous stories about a school built thirty stories high.",128,"humor,school,absurd",4.16,"USA",TRUE,"None","Children",TRUE,2005,"978-0380731480"
641,"The Jungle","Upton Sinclair","Political Fiction","English",1906,"Doubleday","An exposé of the American meatpacking industry and the plight of immigrants.",375,"history,politics,poverty",3.75,"USA",TRUE,"None","Adult",FALSE,,"978-0486419237"
642,"A Farewell to Arms","Ernest Hemingway","War","English",1929,"Scribner","An American ambulance driver in the Italian Army falls in love with a British nurse.",293,"war,romance,tragedy",3.80,"USA",TRUE,"None","Adult",TRUE,1932,"978-0684801469"
643,"Main Street","Sinclair Lewis","Satire","English",1920,"Harcourt","A young woman struggles against the conformity of small-town America.",451,"classic,satire,society",3.74,"USA",TRUE,"None","Adult",FALSE,,"978-0451525314"
644,"The Duke and I","Julia Quinn","Romance","English",2000,"Avon","Daphne Bridgerton and the Duke of Hastings enter a fake courtship.",384,"romance,regency,family",3.84,"USA",TRUE,"None","Adult",TRUE,2020,"978-0062353597"
645,"The Viscount Who Loved Me","Julia Quinn","Romance","English",2000,"Avon","Anthony Bridgerton decides to marry, but falls for his intended's sister.",378,"romance,regency,enemies to lovers",4.04,"USA",TRUE,"None","Adult",TRUE,2022,"978-0062353641"
646,"The Thorn Birds","Colleen McCullough","Historical Fiction","English",1977,"Harper & Row","A family saga set on a sheep station in the Australian outback.",692,"australia,romance,epic",4.23,"Australia",TRUE,"None","Adult",TRUE,1983,"978-0380018178"
647,"Streets of Laredo","Larry McMurtry","Western","English",1993,"Simon & Schuster","A sequel to Lonesome Dove, featuring Captain Call hunting a bandit.",589,"western,adventure,sequel",4.08,"USA",TRUE,"None","Adult",TRUE,1995,"978-0671792817"
648,"Empire of the Sun","J.G. Ballard","War","English",1984,"Gollancz","A young British boy struggles to survive in a Japanese internment camp in China.",279,"war,survival,semi-autobiographical",3.91,"UK",TRUE,"James Tait Black Prize","Adult",TRUE,1987,"978-0006540939"
649,"Crash","J.G. Ballard","Transgressive","English",1973,"Jonathan Cape","Characters derive sexual arousal from car crashes.",224,"psychology,dark,controversial",3.32,"UK",TRUE,"None","Adult",TRUE,1996,"978-0312420338"
650,"High Rise","J.G. Ballard","Dystopian","English",1975,"Jonathan Cape","Residents of a luxury high-rise building descend into primal chaos.",208,"dystopia,society,class",3.68,"UK",TRUE,"None","Adult",TRUE,2015,"978-0871404022"
651,"The Wise Man's Fear","Patrick Rothfuss","Fantasy","English",2011,"DAW Books","Kvothe continues his education at the University and travels to the Fae realm.",994,"magic,adventure,sequel",4.55,"USA",TRUE,"None","Adult",FALSE,,"978-0756404734"
652,"The Slow Regard of Silent Things","Patrick Rothfuss","Fantasy","English",2014,"DAW Books","A novella exploring the life of Auri, a mysterious character living beneath the University.",159,"magic,lyrical,novella",4.16,"USA",TRUE,"None","Adult",FALSE,,"978-0756411336"
653,"The Dark Forest","Cixin Liu","Sci-Fi","English",2008,"Chongqing Press","Humanity prepares for an alien invasion arriving in 400 years by creating the Wallfacer project.",512,"aliens,strategy,philosophy",4.40,"China",TRUE,"None","Adult",FALSE,,"978-0765377081"
654,"Death's End","Cixin Liu","Sci-Fi","English",2010,"Chongqing Press","The conclusion to the Three-Body trilogy, spanning eras and dimensions.",604,"aliens,time,universe",4.46,"China",TRUE,"Locus Award","Adult",FALSE,,"978-0765377104"
655,"Speaker for the Dead","Orson Scott Card","Sci-Fi","English",1986,"Tor Books","Ender Wiggin tries to understand a new alien species to prevent another xenocide.",415,"aliens,philosophy,sequel",4.06,"USA",TRUE,"Hugo,Nebula","Adult",FALSE,,"978-0812550757"
656,"Xenocide","Orson Scott Card","Sci-Fi","English",1991,"Tor Books","Ender works to save the Pequeninos and the Hive Queen from a deadly virus.",592,"aliens,virus,philosophy",3.76,"USA",TRUE,"None","Adult",FALSE,,"978-0812509250"
657,"The Gunslinger","Stephen King","Fantasy","English",1982,"Grant","Roland of Gilead pursues the Man in Black across a desert in the first Dark Tower book.",224,"western,fantasy,epic",3.93,"USA",TRUE,"None","Adult",TRUE,2017,"978-0451210845"
658,"The Drawing of the Three","Stephen King","Fantasy","English",1987,"Grant","Roland summons three companions from different eras of New York to help him.",400,"fantasy,time travel,epic",4.22,"USA",TRUE,"None","Adult",FALSE,,"978-0451210852"
659,"The Waste Lands","Stephen King","Fantasy","English",1991,"Grant","Roland and his ka-tet continue their quest towards the Dark Tower.",512,"fantasy,epic,train",4.25,"USA",TRUE,"None","Adult",FALSE,,"978-0451210869"
660,"Doctor Sleep","Stephen King","Horror","English",2013,"Scribner","A sequel to The Shining, following an adult Dan Torrance protecting a girl with powers.",531,"horror,powers,recovery",4.09,"USA",TRUE,"Bram Stoker Award","Adult",TRUE,2019,"978-1476727653"
662,"Time of Contempt","Andrzej Sapkowski","Fantasy","English",1995,"SuperNOWA","Geralt and Yennefer fight to protect Ciri as war erupts across the continent.",331,"magic,war,witcher",4.25,"Poland",TRUE,"None","Adult",TRUE,2019,"978-0316219136"
